SAN JOSÉ,SAN JOSÉ (101),CARMEN (01),"9°56'11""","-84°4'28"""
SAN JOSÉ,SAN JOSÉ (101),MERCED (02),"9°56'24""","-84°5'50"""
SAN JOSÉ,SAN JOSÉ (101),HOSPITAL (03),"9°55'36""","-84°5'52"""
SAN JOSÉ,SAN JOSÉ (101),CATEDRAL (04),"9°56'02""","-84°04'54"""
SAN JOSÉ,SAN JOSÉ (101),ZAPOTE (05),"9°55'17""","-84°3'26"""
SAN JOSÉ,SAN JOSÉ (101),SAN FRANCISCO DE DOS RÍOS (06),"9°54'30""","-84°4'1"""
SAN JOSÉ,SAN JOSÉ (101),URUCA (07),"9°45'52""","-84°8'35"""
SAN JOSÉ,SAN JOSÉ (101),MATA REDONDA (08),"9°56'7""","-84°7'10"""
SAN JOSÉ,SAN JOSÉ (101),PAVAS (09),"9°56'52""","-84°8'24"""
SAN JOSÉ,SAN JOSÉ (101),HATILLO (10),"9°54'57""","-84°6'7"""
SAN JOSÉ,SAN JOSÉ (101),SAN SEBASTIÁN (11),"9°54'37""","-84°5'28"""
SAN JOSÉ,ESCAZÚ (102),ESCAZÚ (01),"09°55'16""","-84°08'32"""
SAN JOSÉ,ESCAZÚ (102),SAN ANTONIO (02),"09°54'24""","-84°08'14"""
SAN JOSÉ,ESCAZÚ (102),SAN RAFAEL (03),"09°55'48""","-84°08'13"""
SAN JOSÉ,DESAMPARADOS (103),DESAMPARADOS (01),"09°54'00""","-84°04'01"""
SAN JOSÉ,DESAMPARADOS (103),SAN MIGUEL (02),"09°52'25""","-84°03'50"""
SAN JOSÉ,DESAMPARADOS (103),SAN JUAN DE DIOS (03),"09°52'50""","-84°05'05"""
SAN JOSÉ,DESAMPARADOS (103),SAN RAFAEL ARRIBA (04),"09°52'35""","-84°04'52"""
SAN JOSÉ,DESAMPARADOS (103),SAN ANTONIO (05),"09°54'02""","-84°02'52"""
SAN JOSÉ,DESAMPARADOS (103),FRAILES (06),"09°45'07""","-84°03'24"""
SAN JOSÉ,DESAMPARADOS (103),PATARRÁ (07),"09°53'03""","-84°02'13"""
SAN JOSÉ,DESAMPARADOS (103),SAN CRISTÓBAL (08),"09°46'19""","-84°00'30"""
SAN JOSÉ,DESAMPARADOS (103),ROSARIO (09),"09°47'39""","-84°05'10"""
SAN JOSÉ,DESAMPARADOS (103),DAMAS (10),"09°53'25""","-84°02'35"""
SAN JOSÉ,DESAMPARADOS (103),SAN RAFAEL ABAJO (11),"09°53'40""","-84°04'57"""
SAN JOSÉ,DESAMPARADOS (103),GRAVILIAS (10),"09°53'51""","-84°03'40"""
SAN JOSÉ,DESAMPARADOS (103),LOS GUIDOS (11),"09°51'57""","-84°03'32"""
SAN JOSÉ,PURISCAL (104),SANTIAGO (01),"09°50'52""","-84°19'04"""
SAN JOSÉ,PURISCAL (104),MERCEDES SUR (02),"09°49'30""","-84°21'18"""
SAN JOSÉ,PURISCAL (104),BARBACOAS (03),"09°51'34""","-84°21'03"""
SAN JOSÉ,PURISCAL (104),GRIFO ALTO (04),"09°52'45""","-84°23'30"""
SAN JOSÉ,PURISCAL (104),SAN RAFAEL (05),"09°50'25""","-84°17'26"""
SAN JOSÉ,PURISCAL (104),CANDELARITA (06),"09°47'48""","-84°20'24"""
SAN JOSÉ,PURISCAL (104),DESAMPARADITOS (07),"09°52'46""","-84°20'30"""
SAN JOSÉ,PURISCAL (104),SAN ANTONIO (08),"09°51'40""","-84°18'00"""
SAN JOSÉ,PURISCAL (104),CHIRES (09),"09°39'30""","-84°26'35"""
SAN JOSÉ,TARRAZÚ (105),SAN MARCOS (01),"09°39'40""","-84°01'27"""
SAN JOSÉ,TARRAZÚ (105),SAN LORENZO (02),"09°38'28""","-84°01'56"""
SAN JOSÉ,TARRAZÚ (105),SAN CARLOS (03),"09°37'50""","-84°05'45"""
SAN JOSÉ,ASERRÍ (106),ASERRÍ (01),"09°52'01""","-84°05'40"""
SAN JOSÉ,ASERRÍ (106),TARBACA (02),"09°49'16""","-84°06'44"""
